file,cultivar,state,n_grains
T106_1.png,T106,natural,67
T106_2.png,T106,unfolded,64
T112_1.png,T112,natural,56
T112_2.png,T112,unfolded,53
T138_1.png,T138,natural,69
T138_2.png,T138,unfolded,68
T139_1.png,T139,natural,53
T139_2.png,T139,unfolded,80
T143_1.png,T143,natural,34
T143_2.png,T143,unfolded,66
T148_1.png,T148,natural,53
T148_2.png,T148,unfolded,56
T152_1.png,T152,natural,56
T152_2.png,T152,unfolded,53
T159_1.png,T159,natural,68
T159_2.png,T159,unfolded,87
T168_1.png,T168,natural,79
T168_2.png,T168,unfolded,64
T16_1.png,T16,natural,99
T16_2.png,T16,unfolded,85
T170_1.png,T170,natural,105
T170_2.png,T170,unfolded,52
T177_1.png,T177,natural,74
T177_2.png,T177,unfolded,45
T193_1.png,T193,natural,83
T193_2.png,T193,unfolded,110
T194_1.png,T194,natural,76
T194_2.png,T194,unfolded,38
T196_1.png,T196,natural,98
T196_2.png,T196,unfolded,96
T200_1.png,T200,natural,89
T200_2.png,T200,unfolded,81
T203_1.png,T203,natural,97
T203_2.png,T203,unfolded,71
T204_1.png,T204,natural,45
T204_2.png,T204,unfolded,43
T217_1.png,T217,natural,96
T217_2.png,T217,unfolded,94
T220_1.png,T220,natural,78
T220_2.png,T220,unfolded,79
T225_1.png,T225,natural,72
T225_2.png,T225,unfolded,72
T227_1.png,T227,natural,58
T227_2.png,T227,unfolded,76
T30_1.png,T30,natural,79
T30_2.png,T30,unfolded,58
T37_1.png,T37,natural,45
T37_2.png,T37,unfolded,71
T38_1.png,T38,natural,93
T38_2.png,T38,unfolded,107
T44_1.png,T44,natural,71
T44_2.png,T44,unfolded,78
T45_1.png,T45,natural,105
T45_2.png,T45,unfolded,84
T49_1.png,T49,natural,44
T49_2.png,T49,unfolded,39
T57_1.png,T57,natural,75
T57_2.png,T57,unfolded,70
T58_1.png,T58,natural,97
T58_2.png,T58,unfolded,76
T60_1.png,T60,natural,78
T60_2.png,T60,unfolded,71
T6_1.png,T6,natural,82
T6_2.png,T6,unfolded,55
T71_1.png,T71,natural,67
T71_2.png,T71,unfolded,46
T74_1.png,T74,natural,87
T74_2.png,T74,unfolded,61
T75_1.png,T75,natural,118
T75_2.png,T75,unfolded,72
T79_1.png,T79,natural,31
T79_2.png,T79,unfolded,71
T7_1.png,T7,natural,60
T7_2.png,T7,unfolded,80
T80_1.png,T80,natural,76
T80_2.png,T80,unfolded,48
T8_1.png,T8,natural,82
T8_2.png,T8,unfolded,95
T90_1.png,T90,natural,44
T90_2.png,T90,unfolded,12
T93_1.png,T93,natural,79
T93_2.png,T93,unfolded,33
